userId,productId,rating
1,3,2.5
1,10,5.0
1,1,3.0
1,5,2.0
1,7,4.0
1,4,2.0
1,8,2.0
2,10,5.0
2,1,5.0
2,3,5.0
2,4,4.0
2,5,4.0
2,6,3.0
3,6,3.0
3,10,5.0
3,9,3.5
3,7,3.0
3,8,4.5
3,5,5.0
3,4,2.5
3,3,5.0
3,2,2.5
4,1,4.0
4,5,5.0
4,6,5.0
4,7,5.0
4,8,4.0
4,2,3.0
4,3,3.0
5,3,4.0
5,1,4.0
5,2,4.0
5,3,4.0
5,4,4.0
5,5,3.5
5,6,4.5
5,7,3.5
5,8,4.0
5,9,4.0
5,10,5.0
6,8,2.5
6,10,5.0
6,6,3.0
6,5,2.0
6,7,4.0
6,9,2.0
6,8,2.0
7,10,5.0
7,6,5.0
7,8,5.0
7,9,4.0
7,5,4.0
7,6,3.0
8,6,3.0
8,10,5.0
8,9,3.5
8,7,3.0
8,8,4.5
8,5,5.0
8,9,2.5
8,8,5.0
8,7,2.5
9,6,4.0
9,5,5.0
9,6,5.0
9,7,5.0
9,8,4.0
9,7,3.0
9,8,3.0
10,8,4.0
10,6,4.0
10,7,4.0
10,8,4.0
10,9,4.0
10,5,3.5
10,6,4.5
10,7,3.5
10,8,4.0
10,9,4.0
10,10,4.0
11,3,2.5
11,10,3.0
11,1,3.0
11,5,2.0
11,7,4.0
11,4,2.0
11,8,2.0
12,10,4.0
12,1,5.0
12,3,5.0
12,4,4.0
12,5,4.0
12,6,3.0
13,6,3.0
13,10,4.0
13,9,3.5
13,7,3.0
13,8,4.5
13,5,5.0
13,4,2.5
13,3,5.0
13,2,2.5
14,1,4.0
14,5,5.0
14,6,5.0
14,7,5.0
14,8,4.0
14,2,3.0
14,3,3.0
15,3,4.0
15,1,4.0
15,2,4.0
15,3,4.0
15,4,4.0
15,5,3.5
15,6,4.5
15,7,3.5
15,8,4.0
15,9,4.0
15,10,4.0
16,3,4.0
16,4,4.0
16,5,3.5
16,6,4.5
16,7,3.5
16,8,4.0
16,9,4.0
16,10,4.0
